,id_product,product,brand,series,price,id_shop,location,storage,cpu,date,sold
48,5,Acer Aspire 514-53g-52sr With,Acer,aspire,8650000.0,ariekakakoesnadi,Surakarta,,Intel,2021-01-14,4
49,46,Acer Aspire Thin Aio,Acer,aspire,11720000.0,acerid,Jakarta Pusat,1 TB,Intel,2021-01-14,2
50,47,Acer Aspire 5 A514-52g,Acer,aspire,10289000.0,mimomart,Jakarta Utara,1 TB,Intel,2021-01-14,4
51,48,Acer Aspire 5 A514-53-32h2,Acer,aspire,7750000.0,simply44,Medan,512 GB,Intel,2021-01-14,1
52,49,Acer Aspire 5 A514-53,Acer,aspire,7799000.0,les-infonetambas,Jakarta Selatan,512 GB,Intel,2021-01-14,1
53,50,Acer Aspire 5 Slim,Acer,aspire,13399000.0,acerid,Jakarta Pusat,512 GB,Intel,2021-01-14,5
54,51,Acer Aspire 3 Slim,Acer,aspire,6750000.0,claiy,Bandung,256 GB,AMD,2021-01-14,1
55,52,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,fastkomputer-1,Tangerang,512 GB,Intel,2021-01-14,89
56,53,Acer Aspire 5 A514-52g-71xl,Acer,aspire,13970000.0,dalakuid,Jakarta Pusat,1 TB,Intel,2021-01-14,3
57,54,Acer Aspire 5 A514-53k-3852,Acer,aspire,7499000.0,armadakomputer,Surabaya,512 GB,Intel,2021-01-14,2
58,55,Acer Aspire 3 A314-22,Acer,aspire,7349000.0,les-infonetambas,Jakarta Selatan,256 GB,,2021-01-14,2
59,56,Hp 820 G3 I5gen6,Acer,aspire,5150000.0,pocapoca,Jakarta Barat,256 GB,Intel,2021-01-14,3
60,57,Toshiba Dynabook Portege R732,Acer,aspire,3250000.0,revocomputer,Jakarta Barat,,Intel,2021-01-14,4
61,58,Toshiba B551 Core I5,Acer,aspire,2549000.0,debbybatavia,Bekasi,,Intel,2021-01-14,126
62,59,Dell E5470 Core I5,Acer,aspire,5100000.0,fuzi-games,Kab. Bandung Barat,256 GB,Intel,2021-01-14,1
63,60,Hp Elitebook 725 G3,Acer,aspire,3499000.0,perdanacomputer,Jakarta Barat,,AMD,2021-01-14,2
64,61,Acer Aspire 3 Slim,Acer,aspire,6999000.0,cointechlogy,Tangerang,256 GB,AMD,2021-01-14,16
65,62,Acer Aspire 3 Slim,Acer,aspire,5725000.0,on5hop,Denpasar,256 GB,AMD,2021-01-14,1
66,63,Acer Aspire 3 A314,Acer,aspire,5099000.0,prostorecomputer,Jakarta Utara,1 TB,Intel,2021-01-14,1
67,64,Acer Aspire 5 A514-53g-37jp,Acer,aspire,7999000.0,reinokomputindo,Medan,1 TB,Intel,2021-01-14,1
68,65,Acer Aspire 3 A314,Acer,aspire,3999000.0,orka,Jakarta Utara,1 TB,Intel,2021-01-14,3
69,66,Acer Aspire 3 A314,Acer,aspire,5499000.0,aj-komputer,Tangerang,,Intel,2021-01-14,6
70,67,Acer Aspire 3 Slim,Acer,aspire,8549000.0,collinsofficial,Jakarta Pusat,512 GB,AMD,2021-01-14,19
71,68,Acer Aspire 3 A314,Acer,aspire,6625000.0,royallcom,Jakarta Pusat,1 TB,AMD,2021-01-14,5
72,69,Acer Aspire 3 A314-32,Acer,aspire,5455000.0,elitecom,Kab. Tangerang,256 GB,Intel,2021-01-14,2
73,70,Acer Aspire 5 A514-52g-547a,Acer,aspire,9899000.0,ithouse,Jakarta Pusat,512 GB,Intel,2021-01-14,2
74,16,Hp Elitebook 8460p Core,Acer,aspire,2550000.0,globaljaya125,Jakarta Utara,,Intel,2021-01-14,5
75,17,Militer Super Tangguh Dell,Acer,aspire,8500000.0,lockstore,Jakarta Pusat,256 GB,Intel,2021-01-14,9
76,18,"Hp 15"" Intel I3",Acer,aspire,7699000.0,maegel-shop,Jakarta Barat,512 GB,Intel,2021-01-14,3
77,19,Lenovo X240 Core I5,Acer,aspire,3399000.0,debbybatavia,Bekasi,,Intel,2021-01-14,555
78,20,Hp Elitebook 725 G3,Acer,aspire,3499000.0,revocomputer,Jakarta Barat,,AMD,2021-01-14,14
79,71,Acer Aspire 5 A514,Acer,aspire,6500000.0,riyenshop,Medan,1 TB,Intel,2021-01-14,1
80,72,Acer Aspire 3 A311-31,Acer,aspire,4000000.0,agselektronik,Surabaya,,,2021-01-14,23
81,73,Acer Aspire 5 Force,Acer,aspire,8749000.0,infoneteshopbcp,Bekasi,,Intel,2021-01-14,1
82,74,Acer Aspire 5 A514-51,Acer,aspire,6800000.0,vicomelektronic,Jakarta Barat,1 TB,Intel,2021-01-14,1
83,75,Acer Aspire One14 Z1402,Acer,aspire,4200000.0,tokobangsigit,Semarang,,,2021-01-14,10
84,76,Acer Aspire 5 Slim,Acer,aspire,8699000.0,royalltech,Jakarta Utara,512 GB,AMD,2021-01-14,3
85,77,Acer Aspire 3 A315-41-ryzen,Acer,aspire,7000000.0,toserbabth,Batam,1 TB,AMD,2021-01-14,3
86,78,Acer Aspire A311-31 Notebook,Acer,aspire,4680000.0,gogosaiya,Medan,,Intel,2021-01-14,5
87,79,Acer Aspire 3 A314,Acer,aspire,7000000.0,diamond-digital,Bandung,256 GB,AMD,2021-01-14,2
88,80,Acer Aspire 4739z -,Acer,aspire,2700000.0,extreme24,Jakarta Selatan,,,2021-01-14,1
89,81,Dell Rugged 5404 Core,Acer,aspire,8499000.0,jualandokcomputer,Jakarta Pusat,256 GB,Intel,2021-01-14,3
90,60,Hp Elitebook 725 G3,Acer,aspire,3499000.0,perdanacomputer,Jakarta Barat,,AMD,2021-01-14,2
91,31,"Hp 240 G7 14""",Acer,aspire,14300000.0,hp,Jakarta Utara,256 GB,Intel,2021-01-14,1
92,32,Dell Latitude E6440 Core,Acer,aspire,3750000.0,fortunelaptop,Jakarta Pusat,,Intel,2021-01-14,11
93,33,Lenovo T440p Core I5,Acer,aspire,3949000.0,debbybatavia,Bekasi,,Intel,2021-01-14,436
94,82,Acer Aspire A314-32-c6km (n4120,Acer,aspire,5700000.0,flashcomppadang,Padang,256 GB,,2021-01-14,1
95,83,Acer Aspire 3 A314-32,Acer,aspire,5290000.0,ratulaptopstore,Jakarta Pusat,256 GB,Intel,2021-01-14,3
96,84,Acer Aspire 3 Slim,Acer,aspire,8199000.0,royalltech,Jakarta Utara,512 GB,AMD,2021-01-14,7
